epoch,step,progress,cls_loss,domain_loss,disc_acc,alpha,feat_norm,loss
6,1110,0.1821,0.064979,0.73772,0.416667,0.721376,56.300961,0.802699
6,1120,0.18374,0.100661,0.775908,0.395833,0.725291,67.319878,0.876569
6,1130,0.18539,0.110953,0.717565,0.4375,0.729159,73.268661,0.828517
6,1140,0.18703,0.23822,0.813003,0.145833,0.732981,75.500076,1.051223
6,1150,0.18867,0.172022,0.784488,0.145833,0.736758,83.475624,0.95651
6,1160,0.19031,0.041384,0.715699,0.5625,0.740488,86.254234,0.757083
6,1170,0.19195,0.01688,0.650009,0.770833,0.744174,88.974686,0.666889
6,1180,0.1936,0.005782,0.669072,0.645833,0.747815,60.833305,0.674854
6,1190,0.19524,0.002429,0.766172,0.3125,0.751412,64.982605,0.768601
6,1200,0.19688,0.145336,0.792745,0.3125,0.754965,58.261375,0.938081
6,1210,0.19852,0.014372,0.715089,0.479167,0.758473,59.954178,0.729461
7,1220,0.20016,0.133502,0.772296,0.375,0.761939,57.964489,0.905798
7,1230,0.20181,0.512014,0.763177,0.291667,0.765361,65.635559,1.275191
7,1240,0.20345,0.097857,0.769746,0.1875,0.768741,62.440971,0.867602
7,1250,0.20509,0.0229,0.670691,0.6875,0.772078,54.002296,0.693591
7,1260,0.20673,0.043846,0.642056,0.75,0.775373,65.034477,0.685902
7,1270,0.20837,0.004904,0.653256,0.645833,0.778626,69.005737,0.658159
7,1280,0.21002,0.057922,0.608622,0.645833,0.781838,65.169975,0.666544
7,1290,0.21166,0.190778,0.599343,0.6875,0.785009,49.332851,0.790121
7,1300,0.2133,0.047479,0.692719,0.645833,0.78814,45.247444,0.740198
7,1310,0.21494,0.076443,0.705294,0.520833,0.79123,54.116287,0.781737
7,1320,0.21658,0.150379,0.765587,0.541667,0.79428,56.463402,0.915966
7,1330,0.21823,0.004277,0.734576,0.4375,0.797291,64.790909,0.738853
7,1340,0.21987,0.228288,0.73425,0.416667,0.800263,66.123039,0.962538
7,1350,0.22151,0.083196,0.740603,0.395833,0.803196,73.132187,0.823799
7,1360,0.22315,0.034471,0.716158,0.520833,0.80609,86.633476,0.750629
7,1370,0.22479,0.562475,0.681798,0.645833,0.808947,69.478012,1.244273
7,1380,0.22644,0.020232,0.745416,0.229167,0.811765,76.469475,0.765647
7,1390,0.22808,0.197667,0.696229,0.458333,0.814547,52.25795,0.893896
7,1400,0.22972,0.167053,0.714548,0.458333,0.817291,82.655594,0.881601
7,1410,0.23136,0.081005,0.68646,0.583333,0.819999,57.755577,0.767464
7,1420,0.233,0.113361,0.685762,0.645833,0.822671,65.420395,0.799123
8,1430,0.23465,0.062404,0.658178,0.666667,0.825306,60.235504,0.720582
8,1440,0.23629,0.137197,0.629571,0.770833,0.827907,53.976086,0.766768
8,1450,0.23793,0.071051,0.650824,0.666667,0.830472,46.764236,0.721875
8,1460,0.23957,0.053132,0.685836,0.520833,0.833002,49.708828,0.738968
8,1470,0.24122,0.180746,0.650264,0.625,0.835498,53.331356,0.83101
8,1480,0.24286,0.068175,0.719573,0.4375,0.83796,56.081757,0.787748
8,1490,0.2445,0.019542,0.712291,0.4375,0.840389,65.125938,0.731833
8,1500,0.24614,0.476999,0.756064,0.3125,0.842784,78.665855,1.233063
8,1510,0.24778,0.015684,0.727567,0.395833,0.845146,73.544853,0.743252
8,1520,0.24943,0.036771,0.713235,0.4375,0.847476,58.44331,0.750006
8,1530,0.25107,0.171061,0.64257,0.666667,0.849773,57.541744,0.813631
