epoch,step,progress,cls_loss,mmd,feat_norm,loss
8,1590,0.26092,0.044961,0.151911,66.700531,0.196872
8,1600,0.26256,0.006773,0.229687,82.104698,0.23646
8,1610,0.2642,0.003479,0.121047,80.029648,0.124526
8,1620,0.26585,0.151021,0.077625,78.297729,0.228646
9,1630,0.26749,0.270637,0.135765,78.927849,0.406402
9,1640,0.26913,0.233758,0.278713,84.396576,0.512471
9,1650,0.27077,0.005609,0.092562,68.841293,0.098171
9,1660,0.27241,0.002424,0.061552,85.420311,0.063976
9,1670,0.27406,0.020795,0.120456,73.858688,0.141251
9,1680,0.2757,0.011478,0.081619,77.960251,0.093097
9,1690,0.27734,0.295282,0.099127,82.365433,0.394409
9,1700,0.27898,0.004835,0.154723,60.323814,0.159558
9,1710,0.28062,0.062575,0.151142,65.741882,0.213717
9,1720,0.28227,0.036545,0.152049,84.231155,0.188594
9,1730,0.28391,0.000369,0.274873,100.834885,0.275242
9,1740,0.28555,0.063942,0.193762,90.266037,0.257704
9,1750,0.28719,0.059814,0.164049,87.613907,0.223863
9,1760,0.28883,0.14593,0.26739,56.777069,0.413321
9,1770,0.29048,0.092055,0.112947,63.411873,0.205001
9,1780,0.29212,0.054971,0.107075,75.933029,0.162046
9,1790,0.29376,0.017419,0.091896,87.574326,0.109315
9,1800,0.2954,0.00733,0.113029,85.173882,0.120359
9,1810,0.29704,0.011874,0.100107,110.630615,0.111981
9,1820,0.29869,0.034647,0.141626,73.173706,0.176273
