epoch,step,progress,cls_loss,domain_loss,disc_acc,alpha,feat_norm,loss
6,1210,0.19852,0.001616,0.702052,0.520833,0.758473,65.697891,0.703668
7,1220,0.20016,0.060317,0.672606,0.75,0.761939,68.420731,0.732923
7,1230,0.20181,0.123706,0.653363,0.833333,0.765361,66.113708,0.777068
7,1240,0.20345,0.027228,0.648781,0.854167,0.768741,71.809677,0.676009
7,1250,0.20509,0.113829,0.648708,0.854167,0.772078,60.451836,0.762537
7,1260,0.20673,0.019614,0.705899,0.458333,0.775373,48.303162,0.725513
7,1270,0.20837,0.143584,0.72894,0.395833,0.778626,56.84848,0.872525
7,1280,0.21002,0.027564,0.723974,0.4375,0.781838,57.833691,0.751538
7,1290,0.21166,0.072618,0.716116,0.375,0.785009,62.828136,0.788734
7,1300,0.2133,0.073187,0.696782,0.5,0.78814,57.901428,0.769968
7,1310,0.21494,0.093204,0.694788,0.520833,0.79123,52.123695,0.787993
7,1320,0.21658,0.058663,0.696812,0.5,0.79428,47.05246,0.755475
7,1330,0.21823,0.010105,0.69907,0.479167,0.797291,54.577251,0.709175
7,1340,0.21987,0.009398,0.704887,0.416667,0.800263,49.187248,0.714285
7,1350,0.22151,0.059798,0.720557,0.229167,0.803196,59.18634,0.780355
7,1360,0.22315,0.002235,0.713801,0.3125,0.80609,63.10067,0.716037
7,1370,0.22479,0.18567,0.704553,0.395833,0.808947,65.904045,0.890222
7,1380,0.22644,0.034522,0.690087,0.541667,0.811765,59.902603,0.724609
7,1390,0.22808,0.035752,0.685082,0.625,0.814547,55.572124,0.720834
7,1400,0.22972,0.190763,0.68493,0.5625,0.817291,42.627365,0.875693
7,1410,0.23136,0.045066,0.668745,0.791667,0.819999,58.336662,0.713812
7,1420,0.233,0.051498,0.68436,0.604167,0.822671,58.324646,0.735858
8,1430,0.23465,0.265626,0.687455,0.479167,0.825306,50.155838,0.953081
8,1440,0.23629,0.017466,0.711508,0.333333,0.827907,55.848869,0.728974
8,1450,0.23793,0.006281,0.712455,0.3125,0.830472,55.486534,0.718736
8,1460,0.23957,0.009466,0.699413,0.458333,0.833002,62.054222,0.708878
8,1470,0.24122,0.001767,0.688587,0.5625,0.835498,61.716091,0.690354
8,1480,0.24286,0.020159,0.695083,0.479167,0.83796,52.733925,0.715242
8,1490,0.2445,0.017464,0.696154,0.4375,0.840389,50.125328,0.713618
8,1500,0.24614,0.03074,0.701192,0.375,0.842784,48.199417,0.731932
8,1510,0.24778,0.003979,0.699773,0.333333,0.845146,54.103024,0.703752
8,1520,0.24943,0.104488,0.69365,0.5,0.847476,62.359619,0.798138
8,1530,0.25107,0.074527,0.68429,0.520833,0.849773,82.242889,0.758817
8,1540,0.25271,0.096952,0.691679,0.520833,0.852039,76.604706,0.788631
8,1550,0.25435,0.119428,0.690836,0.520833,0.854273,88.997116,0.810264
8,1560,0.25599,0.092514,0.663514,0.854167,0.856476,73.822975,0.756027
8,1570,0.25764,0.108351,0.662335,0.854167,0.858648,71.938828,0.770686
8,1580,0.25928,0.416724,0.654432,0.791667,0.86079,65.617485,1.071156
8,1590,0.26092,0.065676,0.709731,0.4375,0.862902,54.882141,0.775408
8,1600,0.26256,0.143176,0.715603,0.4375,0.864984,62.373669,0.858779
8,1610,0.2642,0.002072,0.715557,0.395833,0.867037,57.550484,0.717629
8,1620,0.26585,0.342378,0.724019,0.395833,0.869061,59.724785,1.066397
9,1630,0.26749,0.02427,0.704293,0.4375,0.871056,47.379295,0.728563
9,1640,0.26913,0.273866,0.705985,0.4375,0.873022,52.636669,0.979851
9,1650,0.27077,0.008748,0.706982,0.291667,0.874961,49.007324,0.71573
9,1660,0.27241,0.032391,0.704678,0.395833,0.876872,60.043652,0.737069
9,1670,0.27406,0.15678,0.699035,0.416667,0.878756,63.658318,0.855815
9,1680,0.2757,0.066696,0.696865,0.458333,0.880613,63.282501,0.763561
9,1690,0.27734,0.118376,0.69186,0.479167,0.882443,54.832069,0.810236
9,1700,0.27898,0.000753,0.693259,0.5625,0.884246,52.963207,0.694012
9,1710,0.28062,0.088294,0.689562,0.5625,0.886024,63.836914,0.777855
9,1720,0.28227,0.042511,0.682339,0.625,0.887776,61.619488,0.724851
9,1730,0.28391,0.004145,0.682535,0.666667,0.889503,58.682213,0.68668
9,1740,0.28555,0.075328,0.692807,0.625,0.891205,55.423943,0.768135
9,1750,0.28719,0.003837,0.693153,0.520833,0.892882,58.945457,0.69699
9,1760,0.28883,0.004025,0.702508,0.4375,0.894534,57.85659,0.706533
9,1770,0.29048,0.053953,0.699098,0.520833,0.896163,54.695541,0.753051
9,1780,0.29212,0.045442,0.696963,0.4375,0.897767,58.096844,0.742405
9,1790,0.29376,0.168375,0.699452,0.4375,0.899349,62.349483,0.867827
9,1800,0.2954,0.234498,0.697939,0.5625,0.900907,57.196869,0.932437
9,1810,0.29704,0.036795,0.693424,0.541667,0.902442,69.416519,0.730218
9,1820,0.29869,0.020791,0.687631,0.625,0.903954,62.415356,0.708422
10,1830,0.30033,0.528203,0.68343,0.583333,0.905445,56.682323,1.211633
10,1840,0.30197,0.052687,0.672522,0.645833,0.906913,49.726543,0.725209
