epoch,step,progress,cls_loss,domain_loss,disc_acc,alpha,loss
7,1220,0.20016,1.969988,1.755468,0.5625,0.761939,3.725455
7,1230,0.20181,2.951581,0.838141,0.5,0.765361,3.789722
7,1240,0.20345,2.524097,2.042183,0.479167,0.768741,4.566279
7,1250,0.20509,2.223732,2.972297,0.541667,0.772078,5.196029
7,1260,0.20673,2.260961,3.586948,0.395833,0.775373,5.847909
7,1270,0.20837,3.79092,5.991784,0.4375,0.778626,9.782703
7,1280,0.21002,2.068961,3.861759,0.458333,0.781838,5.93072
7,1290,0.21166,3.003628,9.508992,0.479167,0.785009,12.51262
7,1300,0.2133,4.670485,35.435452,0.458333,0.78814,40.105934
7,1310,0.21494,15.927983,52.54118,0.541667,0.79123,68.469162
7,1320,0.21658,106.290306,96.653168,0.5,0.79428,202.943481
7,1330,0.21823,113.91407,173.079895,0.479167,0.797291,286.993958
7,1340,0.21987,193.371704,502.382324,0.4375,0.800263,695.754028
7,1350,0.22151,7795.52002,3345.816406,0.479167,0.803196,11141.335938
7,1360,0.22315,197.29895,204.322266,0.541667,0.80609,401.621216
7,1370,0.22479,17.132046,40.133801,0.541667,0.808947,57.265846
7,1380,0.22644,19.387627,28.536913,0.5,0.811765,47.924538
7,1390,0.22808,12.571167,19.428879,0.520833,0.814547,32.000046
7,1400,0.22972,29.703308,50.158688,0.479167,0.817291,79.862
7,1410,0.23136,47.914124,120.271667,0.520833,0.819999,168.185791
7,1420,0.233,111.858345,309.245239,0.458333,0.822671,421.103577
8,1430,0.23465,73.968575,524.919434,0.583333,0.825306,598.888
8,1440,0.23629,2320.518555,3043.428711,0.458333,0.827907,5363.947266
8,1450,0.23793,4138.024902,3986.000732,0.541667,0.830472,8124.025391
8,1460,0.23957,180.795853,166.610092,0.479167,0.833002,347.405945
8,1470,0.24122,41.274723,23.497713,0.5625,0.835498,64.772438
8,1480,0.24286,7.961348,6.428533,0.4375,0.83796,14.389881
8,1490,0.2445,2.191422,0.858331,0.5,0.840389,3.049752
8,1500,0.24614,2.148772,0.658641,0.541667,0.842784,2.807413
8,1510,0.24778,1.922935,0.708484,0.541667,0.845146,2.631419
8,1520,0.24943,1.972879,0.704743,0.4375,0.847476,2.677623
8,1530,0.25107,1.930808,0.675878,0.541667,0.849773,2.606685
8,1540,0.25271,1.895602,0.712636,0.4375,0.852039,2.608238
8,1550,0.25435,1.925148,0.692723,0.458333,0.854273,2.617871
8,1560,0.25599,1.929991,0.686425,0.520833,0.856476,2.616415
8,1570,0.25764,1.959997,0.717446,0.395833,0.858648,2.677443
8,1580,0.25928,1.943289,0.710704,0.395833,0.86079,2.653993
8,1590,0.26092,1.973449,0.777429,0.291667,0.862902,2.750878
8,1600,0.26256,1.891223,0.791573,0.208333,0.864984,2.682796
8,1610,0.2642,2.18688,2.061172,0.5,0.867037,4.248053
8,1620,0.26585,22.89982,64.522797,0.5,0.869061,87.422615
9,1630,0.26749,368.801727,388.831177,0.4375,0.871056,757.632935
9,1640,0.26913,197.228882,125.530678,0.5,0.873022,322.759552
9,1650,0.27077,20.182638,64.418282,0.416667,0.874961,84.600922
9,1660,0.27241,16.212172,52.944244,0.541667,0.876872,69.156418
9,1670,0.27406,36.967834,131.627609,0.479167,0.878756,168.595444
9,1680,0.2757,495.184235,481.141724,0.541667,0.880613,976.325928
9,1690,0.27734,250.791763,238.906937,0.520833,0.882443,489.6987
9,1700,0.27898,44.664654,41.854244,0.5,0.884246,86.518898
9,1710,0.28062,9.013522,18.212145,0.5,0.886024,27.225666
9,1720,0.28227,14.777263,33.262463,0.4375,0.887776,48.039726
9,1730,0.28391,64.377037,146.563614,0.479167,0.889503,210.940643
9,1740,0.28555,5802.32666,3335.044189,0.520833,0.891205,9137.371094
9,1750,0.28719,53781.4375,153326.75,0.416667,0.892882,207108.1875
9,1760,0.28883,2288006.75,517647.375,0.520833,0.894534,2805654.0
9,1770,0.29048,10947.381836,30650.451172,0.5,0.896163,41597.832031
9,1780,0.29212,920609.0625,6729622.5,0.5,0.897767,7650231.5
9,1790,0.29376,983298112.0,1469085184.0,0.5,0.899349,2452383232.0
9,1800,0.2954,3003004928.0,3486669568.0,0.5,0.900907,6489674752.0
9,1810,0.29704,7435980800.0,4152035328.0,0.604167,0.902442,11588016128.0
9,1820,0.29869,1018272960.0,1820176384.0,0.4375,0.903954,2838449408.0
