epoch,lr,train_loss,train_l_known,train_l_classifier_ph,train_l_data_ph,train_mix_to_dummy,train_known_dummy_2nd,train_acc,val_acc,val_loss,seconds,best
14,0.0008422735529643443,0.032417867332696915,0.01811017468571663,0.01051852386444807,0.037891779094934464,0.9996444582939148,0.9988000392913818,0.9984000325202942,0.9342,0.29605418701171876,20.0,0
15,0.0008187119948743448,0.028227170929312706,0.015770815312862396,0.009076446294784546,0.033799003809690475,0.9997777938842773,0.9992889165878296,0.9990222454071045,0.9302,0.3118044006347656,20.2,0
16,0.0007938926261462366,0.026920903474092484,0.014810924418270588,0.009060432203114033,0.030495377257466316,0.9998666644096375,0.9989333152770996,0.998711109161377,0.9334,0.3200266784667969,20.1,0
17,0.0007679133974894982,0.025430629029870033,0.014120137318968773,0.008449132554233074,0.028613753616809845,0.9999111294746399,0.9992889165878296,0.9990222454071045,0.9382,0.3107212097167969,19.7,0
18,0.0007408768370508576,0.024519477039575577,0.013737046159803867,0.008109002374112606,0.026734190061688423,0.9998666644096375,0.9993333220481873,0.9988444447517395,0.9388,0.294266650390625,19.8,0
19,0.0007128896457825362,0.021593088284134865,0.011760346591472626,0.007319966796785593,0.025127707049250603,0.9999111294746399,0.9995111227035522,0.9995555877685547,0.9392,0.31754962158203126,19.9,0
20,0.0006840622763423389,0.02034049853682518,0.010989156551659107,0.006975953467190266,0.02375396341085434,1.0,0.9994222521781921,0.9993777871131897,0.9336,0.33923856201171876,19.8,0
21,0.0006545084971874735,0.02207161672413349,0.012358162552118301,0.007417631335556507,0.022958258166909218,0.9999555945396423,0.9992889165878296,0.999155580997467,0.9362,0.32948701782226564,20.2,0
22,0.0006243449435824271,0.018844736739993095,0.010144758969545364,0.006497599184513092,0.02202385663986206,0.9999111294746399,0.9995999932289124,0.9996444582939148,0.9362,0.34734911499023435,19.9,0
23,0.0005936906572928622,0.017581714317202568,0.009435485117137432,0.006124687381088734,0.020215502008795738,0.9999555945396423,0.9995999932289124,0.9995111227035522,0.9374,0.34904567260742186,19.7,0
24,0.000562666616782152,0.01800239458680153,0.009731772355735302,0.006334630772471428,0.019359957426786423,0.9999555945396423,0.9995999932289124,0.9995111227035522,0.9354,0.32670278930664065,20.0,0
25,0.0005313952597646566,0.01709066517651081,0.00925417896360159,0.00595877505838871,0.01877715438604355,1.0,0.9996444582939148,0.9994666576385498,0.9406,0.29932423095703126,20.0,0
26,0.0004999999999999998,0.016046829521656036,0.008533334359526634,0.005663528572767973,0.01849965937435627,0.9999555945396423,0.9995999932289124,0.9995999932289124,0.9368,0.3063636901855469,20.2,0
27,0.00046860474023534314,0.016521427780389786,0.008917287923395634,0.005816309247165918,0.017878279089927673,0.9999555945396423,0.9994666576385498,0.9994222521781921,0.937,0.32541826171875,19.8,0
28,0.00043733338321784774,0.015715064480900764,0.008411034941673279,0.005551012232899666,0.017530128359794617,0.9999111294746399,0.9995111227035522,0.9995555877685547,0.9342,0.37107427368164064,20.1,0
29,0.00040630934270713756,0.015119468793272972,0.008123984560370445,0.0053238049149513245,0.016716916114091873,0.9999111294746399,0.9995999932289124,0.9995999932289124,0.9402,0.31366925048828126,20.1,0
30,0.00037565505641757246,0.01443079486489296,0.0075524477288126945,0.005234274547547102,0.016440629959106445,0.9999555945396423,0.9996444582939148,0.9995555877685547,0.9392,0.3057022277832031,19.4,0
31,0.00034549150281252633,0.013409029692411423,0.006957892794162035,0.004832317586988211,0.016188206151127815,0.9999555945396423,0.9998666644096375,0.9996889233589172,0.9398,0.3124228759765625,20.2,0
32,0.00031593772365766105,0.013649256899952888,0.007189693860709667,0.004924361128360033,0.01535195205360651,1.0,0.9995999932289124,0.9997333288192749,0.9386,0.33105,19.7,0
33,0.00028711035421746355,0.013890722766518593,0.007492808625102043,0.004874243400990963,0.015236646868288517,0.9999111294746399,0.9997333288192749,0.9997333288192749,0.94,0.32879000854492185,19.8,0
